Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
Andorra,4.0,0.0,0.0,0.0,0.0
New Caledonia,1.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0
Philippines,4.0,0.0,1.0,3.0,1.0
Montenegro,2.0,0.0,0.0,0.0,0.0
Cyprus,5.0,0.0,3.0,2.0,0.0
Lithuania,5.0,0.0,0.0,0.0,0.0
Guatemala,12.0,0.0,0.0,0.0,0.0
Saint Martin (French part),1.0,0.0,0.0,0.0,0.0
Greenland,2.0,0.0,0.0,0.0,0.0
Moldova,2.0,0.0,1.0,0.0,0.0
Honduras,4.0,0.0,0.0,0.0,0.0
Monaco,3.0,0.0,0.0,0.0,0.0
Indonesia,1.0,0.0,0.0,1.0,0.0
Curaçao,1.0,0.0,0.0,1.0,0.0
Aruba,2.0,0.0,0.0,0.0,0.0
Cuba,2.0,0.0,2.0,2.0,0.0
Guyana,2.0,0.0,2.0,0.0,0.0
El Salvador,1.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,0.0
Hong Kong,1.0,0.0,1.0,1.0,0.0
South Sudan,2.0,0.0,0.0,0.0,0.0
Egypt,1.0,0.0,1.0,0.0,0.0
Nigeria,220.0,310.0,0.0,0.0,0.0
Democratic Republic Of The Congo,196.0,2681.0,0.0,0.0,0.0
Central African Republic,8.0,9.0,0.0,0.0,0.0
Republic of Congo,3.0,5.0,0.0,0.0,0.0
Cameroon,7.0,27.0,0.0,0.0,0.0
Liberia,2.0,0.0,0.0,0.0,0.0
Sierra Leone,0.0,2.0,0.0,0.0,0.0
